Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16001,Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco  ,Infinite Ventures  ,5.4,,0.06,0.01,,0.0,0.07
16002,Sigma Harmonics,DS,2008,Role-Playing,Square Enix  ,Square Enix  ,,,,,0.07,,0.07
16003,Super Robot Spirits,N64,1998,Fighting,Banpresto  ,Vertex  ,,,,,0.04,0.03,0.07
16004,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1994,Fighting,Konami  ,Konami  ,,,0.04,0.01,0.02,,0.07
16005,Uncharted Waters IV HD Version,All,2021,Role-Playing,Koei Tecmo  ,Koei Tecmo Games  ,,,,,,,
16006,Winning Post 10,All,1923,Simulation,Koei Tecmo  ,Koei Tecmo Games  ,,,,,,,
16007,SNK Arcade Classics Vol. 1,Wii,2008,Misc,SNK Playmore  ,Terminal Reality  ,,,0.06,0.0,,0.01,0.07
16008,WRC 7,PS4,2017,Racing,Bigben Interactive  ,Kylotonn Entertainment  ,,,0.06,,,0.01,0.07
16009,Samurai Warriors,XB,2004,Action,KOEI  ,Omega Force  ,,,0.05,0.02,,0.0,0.07
16010,GunParade Orchestra: Shiro no Shou,PS2,2006,Adventure,Sony Computer Entertainment  ,Alfa System  ,,,,,0.07,,0.07
16011,Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,2009,Action,Irem Software Engineering  ,Irem Software Engineering  ,,,,,0.07,,0.07
16012,Operation Flashpoint: Red River,PC,2011,Shooter,Codemasters  ,Codemasters  ,7.0,,0.01,0.04,,0.01,0.07
16013,Winter Sports 2011,Wii,2011,Sports,DTP Entertainment  ,49Games  ,,,,0.06,,0.01,0.07
16014,Tank! Tank! Tank!,WiiU,2012,Misc,Namco Bandai Games  ,Namco Bandai Games  ,4.7,,0.02,0.01,0.05,0.0,0.07
16015,FIFA Soccer 2004,GC,2003,Sports,EA Sports  ,EA Canada  ,8.2,,0.05,0.01,,0.0,0.07
16016,Dave Mirra BMX Challenge,PSP,2006,Sports,Crave Entertainment  ,Left Field Productions  ,3.5,,0.06,0.0,,0.01,0.07
16017,Just Dance 2018,PS3,2017,Music,Ubisoft  ,Ubisoft Paris  ,,,0.02,0.03,,0.01,0.07
16018,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,Strategy,Namco Bandai Games  ,Banpresto  ,,,,,0.07,,0.07
16019,MotorStorm RC,PSV,2012,Racing,Sony Computer Entertainment  ,Evolution Studios  ,8.1,,,0.05,,0.01,0.07
16020,Rayman 3: Hoodlum Havoc,GC,2003,Platform,Ubisoft  ,Ubisoft  ,7.4,,0.05,0.01,,0.0,0.07
16021,Paw Patrol on a Roll,PS4,2018,Platform,Outright Games  ,Outright Games  ,,,0.06,,,0.01,0.07
16022,Shenmue I & II,XOne,2018,Action-Adventure,Sega  ,Sega  ,,,0.05,0.01,,0.01,0.07
16023,Cooking Mama: Sweet Shop,3DS,2017,Simulation,Rising Star Games  ,Office Create  ,6.0,,0.03,,0.04,0.0,0.07
16024,Dynasty Warriors 8: Empires,XOne,2015,Action,Tecmo Koei  ,Omega Force  ,,,0.04,0.02,,0.01,0.07
16025,Tales of Rebirth,PSP,2008,Role-Playing,Namco Bandai  ,Team Destiny  ,,,,,0.07,,0.07
16026,The Guy Game,XB,2004,Misc,Gathering of Developers  ,Top Heavy Studios  ,,,0.05,0.02,,0.0,0.07
16027,Let's Ride! Dreamer,GBA,2006,Adventure,THQ  ,Independent Arts  ,,,0.05,0.02,,0.0,0.07
16028,Open Season,Wii,2006,Platform,Ubisoft  ,Ubisoft Montreal  ,5.0,,0.06,0.0,,0.01,0.07
16029,Point Blank DS (JP sales),DS,2006,Shooter,Namco Bandai  ,Namco Bandai Games  ,,,,,0.07,,0.07
16030,Tecmo's Deception,PS,1996,Role-Playing,Tecmo  ,Tecmo  ,,,0.04,0.03,,0.0,0.07
16031,Ghost in the Shell: Stand Alone Complex,PSP,2005,Role-Playing,Bandai  ,G-Artists  ,5.7,,0.06,,,0.01,0.07
16032,G-Saviour,PS2,2000,Action,Sunrise Interactive  ,Atelier-Sai  ,,,,,0.07,,0.07
16033,Dave Mirra BMX Challenge,Wii,2007,Sports,Crave Entertainment  ,Left Field Productions  ,,,0.06,0.0,,0.01,0.07
16034,Tomb Raider: Legend,DS,2006,Adventure,Eidos Interactive  ,Crystal Dynamics  ,6.5,,0.04,0.02,,0.01,0.07
16035,futureU: The Prep Game for SAT,DS,2008,Misc,Aspyr  ,Aspyr Media  ,,,0.06,,,0.01,0.07
16036,Gintama DS: Yorozuya Daisoudou,DS,2006,Action,Namco Bandai  ,Banpresto  ,,,,,0.07,,0.07
16037,Pro Yakyuu Spirits 2014,PSV,2014,Sports,Konami Digital Entertainment  ,Konami  ,,,,,0.07,,0.07
16038,Drake of the 99 Dragons,XB,2003,Shooter,Majesco  ,Idol FX  ,,,0.05,0.01,,0.0,0.07
16039,DUSK,PC,2018,Shooter,New Blood Interactive  ,David Szymanski  ,,,,,,,
16040,Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games  ,Unknown  ,,,,,0.07,,0.07
16041,Godzilla (2014),PS3,2015,Action,Namco Bandai Games  ,Namco Bandai Games  ,,,,0.01,0.06,0.0,0.07
16042,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010,Action,Namco Bandai  ,Bandai Namco Games  ,,,,,0.07,,0.07
16043,Neverland Card Battles,PSP,2008,Role-Playing,Yuke's  ,Idea Factory  ,,,0.05,,,0.02,0.07
16044,Crimson Sea 2,PS2,2004,Action,KOEI  ,Koei  ,,,0.03,0.03,,0.01,0.07
16045,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013,Action,FuRyu Corporation  ,FuRyu Corporation  ,,,,,0.07,,0.07
16046,Genkai Tokki: Moero Crystal,PSV,2015,Role-Playing,Compile Heart  ,Compile Heart  ,,,,,0.07,,0.07
16047,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008,Adventure,Alchemist  ,Alchemist  ,,,,,0.07,,0.07
16048,Le Tour de France 2017,PS4,2017,Simulation,Focus Home Interactive  ,Cyanide Studio  ,,,,0.06,,0.01,0.07
16049,AMF Bowling Pinbusters!,DS,2008,Sports,Vir2L Studios  ,4J Studios  ,,,0.06,0.0,,0.0,0.07
16050,Middle-Earth: Shadow of War,PC,2017,Action,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,,,0.03,0.04,,0.01,0.07
16051,Sushi Striker: The Way of Sushido,NS,2018,Puzzle,Nintendo  ,Indies Zero  ,7.9,,0.02,0.01,0.03,0.0,0.07
16052,Mobile Suit Gundam: Try Age SP,3DS,2014,Strategy,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.07,,0.07
16053,Digimon World Championship,DS,2008,Role-Playing,Namco Bandai  ,epics  ,,,0.0,,0.07,0.0,0.07
16054,RayStorm,PS,1997,Shooter,Working Designs  ,Taito Corporation  ,,,0.04,0.03,,0.0,0.07
16055,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft  ,Phoenix Games Studio  ,,,0.05,0.01,,0.0,0.07
16056,Ant Nation,DS,2009,Simulation,Konami  ,Konami  ,,,0.06,0.01,,0.01,0.07
16057,The Unspoken,PC,2016,Action,Oculus  ,Insomniac Games  ,,,,,,,
16058,City Shrouded in Shadow,PS4,2017,Action-Adventure,Namco Bandai Games  ,Granzella  ,,,,,0.07,,0.07
16059,"Horrid Henry: The Good, The Bad and The Bugly",3DS,2011,Platform,Asylum Entertainment  ,Asylum Entertainment  ,,,,0.06,,0.01,0.07
16060,Circuit Breakers,PS,1998,Racing,Mindscape  ,Supersonic Software  ,5.9,,0.04,0.03,,0.0,0.07
16061,Trick DS-han: Kakushi Kami no Sumukan,DS,2010,Misc,Konami  ,Konami  ,,,,,0.07,,0.07
16062,Catwoman,GC,2004,Action,Electronic Arts  ,Argonaut Games  ,5.3,,0.05,0.01,,0.0,0.07
16063,Real Time Conflict: Shogun Empires,DS,2005,Strategy,Namco  ,Box Clever Interactive  ,,,0.06,,,0.01,0.07
16064,Colosseum: Road to Freedom,PS2,2005,Role-Playing,KOEI  ,Goshow  ,,,0.03,0.03,,0.01,0.07
16065,Bionicle Heroes,X360,2006,Shooter,Eidos Interactive  ,Traveller's Tales  ,6.1,,0.05,0.01,,0.01,0.07
16066,Target: Terror,Wii,2008,Shooter,Konami  ,Leviathan Games  ,,,0.06,,,0.01,0.07
16067,BeatMania,PS2,2006,Simulation,Konami  ,Konami  ,,,0.03,0.03,,0.01,0.07
